X,Y,Z,dip,azimuth,strike,type
257203.11,6620201.205,311.589846,70,309,219,field
257202.9581,6620214.021,323.4357288,84,142,52,field
257208.2838,6620219.028,328.287583,72,312,222,field
257201.1336,6620185.437,314.7023059,64,305,215,field
257123.8473,6620196.289,274.3870878,52,5,275,field
257135.1882,6620201.614,280.4520407,46,340,250,field
257142.1468,6620209.403,287.2952521,63,335,245,field
257156.9679,6620209.102,291.9213719,62,338,248,field
257170.9804,6620205.847,298.9683891,45,305,215,field
257177.2958,6620208.784,304.5333098,46,314,224,field
257192.5664,6620206.672,309.9362459,72,335,245,field
257177.9366,6620215.018,310.8206233,41,335,245,field
257169.4016,6620220.23,307.966597,55,337,247,field
257158.2369,6620217.353,298.9168565,76,325,235,field
257144.4676,6620216.215,292.034252,58,320,230,field
257151.309,6620226.749,300.9112897,44,326,236,field
257155.484,6620236.947,305.4054972,37,322,232,field
257161.8674,6620232.506,312.3551795,18,350,260,field
257168.7553,6620228.233,312.375041,22,314,224,field
257175.003,6620223.842,315.9033811,32,305,215,field
257184.9316,6620217.486,316.7096046,37,328,238,field
257162.0753,6620234.388,313.4489337,36,315,225,field
257160.0022,6620239.072,309.5809506,37,250,160,field
257162.5703,6620243.026,311.813997,32,303,213,field
257168.5101,6620249.885,317.343983,30,276,186,field
257171.2255,6620252.959,319.6151803,22,300,210,field
257175.5241,6620257.604,322.6466244,15,85,355,field
257179.0544,6620268.557,326.9349213,43,145,55,field
257181.0397,6620276.067,330.6406967,24,100,10,field
257189.2121,6620276.119,337.3948261,37,149,59,field
257195.9432,6620274.258,343.6059786,22,160,70,field
257203.3596,6620277.205,351.9170789,20,115,25,field
257181.1045,6620264.025,329.8465183,36,235,145,field
257186.832,6620260.531,336.5804904,39,275,185,field
257190.3524,6620258.445,339.1799339,55,298,208,field
257196.3164,6620254.904,342.2913944,60,328,238,field
257201.9226,6620250.953,345.2690378,75,315,225,field
257208.2327,6620246.629,347.3486035,76,302,212,field
257214.5977,6620243.491,345.877906,70,300,210,field
257219.7613,6620240.792,343.7019801,63,285,195,field
257212.7081,6620238.023,341.1205459,72,320,230,field
257202.7921,6620234.182,335.9684302,53,298,208,field
257195.7385,6620232.904,332.5593723,45,300,210,field
257190.0652,6620229.561,326.3546829,55,275,185,field
257181.6197,6620234.846,324.8823144,73,280,190,field
257172.6172,6620244.05,322.5751509,55,334,244,field
257176.2004,6620245.243,325.2295657,50,233,143,field
257180.5683,6620246.18,328.444632,63,313,223,field
257183.6821,6620249.961,331.0136347,84,315,225,field
257192.1611,6620260.363,340.8219961,74,306,216,field
257200.1886,6620265.245,348.792588,75,290,200,field
257212.0416,6620283.82,361.525637,45,278,188,field
257212.4339,6620291.694,362.0700964,55,276,186,field
257215.0791,6620298.52,365.0476635,76,315,225,field
257218.2876,6620304.064,368.2590347,59,292,202,field
257223.9015,6620307.07,373.0694731,64,308,218,field
257228.4872,6620311.283,375.8149892,42,277,187,field
257231.9166,6620321.144,378.4860886,35,296,206,field
257163.4385,6620318.391,324.4625969,47,284,194,field
257169.9759,6620316.139,331.2796927,36,295,205,field
257209.4392,6620322.037,364.8260878,50,312,222,field
257204.1702,6620317.962,357.581408,45,315,225,field
257199.0388,6620316.661,353.7536193,30,325,235,field
257204.2998,6620307.299,355.8113874,30,320,230,field
257182.4769,6620277.936,331.8594235,17,175,85,field
257186.19,6620279.045,334.8910303,25,290,200,field
257195.1698,6620283.458,341.9607936,56,275,185,field
257201.2356,6620288.101,348.9404215,56,290,200,field
257209.4083,6620287.944,358.9140178,69,298,208,field
257214.3644,6620288.899,363.8095159,65,308,218,field
257218.6425,6620294.37,367.7364062,12,270,180,field
257217.8429,6620293.845,366.8995595,75,285,195,field
257230.5399,6620301.56,373.8427612,33,268,178,field
257153.0442,6620247.299,306.1677484,50,275,184,field
257135.0567,6620378.857,311.9403256,45,270,180,field
257141.1145,6620376.859,316.9217515,71,304,214,field
257139.7362,6620384.491,316.042691,55,312,222,field
257140.7627,6620391.282,317.894314,76,300,210,field
257142.6004,6620394.726,321.3640954,79,280,190,field
257143.4589,6620400.988,325.2993979,60,270,180,field
257163.4385,6620318.391,324.4588714,47,284,194,field
257169.9759,6620316.139,331.2442115,36,295,205,field
257170.6329,6620321.232,329.362963,12,300,210,field
257174.4602,6620327.723,333.9239804,20,220,130,field
257178.7384,6620330.875,337.4263319,35,268,178,field
257184.1616,6620330.311,342.7937417,52,295,205,field
257188.2756,6620332.608,345.705852,40,294,204,field
257193.5026,6620339.547,350.9866788,16,252,162,field
257198.8018,6620341.406,355.5935775,22,280,190,field
257200.5482,6620343.521,357.7387826,34,130,40,field
257201.3205,6620350.851,361.8788067,18,70,340,field
257202.0258,6620355.463,360.3676834,26,310,220,field
257199.5597,6620361.136,362.2466448,37,287,197,field
257198.5253,6620368.816,359.3462303,25,303,213,field
257201.391,6620375.25,363.6804544,29,305,215,field
257204.5017,6620383.224,366.8581431,82,333,243,field
257209.5336,6620391.938,371.5909184,62,312,222,field
257214.2453,6620397.322,375.9840976,59,305,215,field
257219.6334,6620401.348,379.2331605,49,330,240,field
257222.3561,6620406.98,381.2067074,54,320,230,field
257228.8047,6620407.792,384.8520566,57,291,201,field
257236.6584,6620409.128,387.1833398,20,270,180,field
257232.1685,6620397.452,385.8543531,45,280,190,field
257225.0052,6620388.942,383.6986876,34,316,226,field
257222.882,6620380.381,383.4017677,58,315,225,field
257227.6904,6620358.026,383.5746677,61,300,210,field
257226.2734,6620353.824,382.123508,47,240,150,field
257220.4089,6620355.207,379.3186193,60,295,205,field
257215.8997,6620356.369,377.2819057,30,275,185,field
257213.8055,6620356.776,376.2781409,48,265,175,field
257210.1594,6620357.949,373.4897751,28,275,185,field
257206.4875,6620359.514,370.5292276,35,246,156,field
257143.8887,6620443.073,327.1217658,46,316,226,field
257149.0891,6620441.297,330.482427,32,304,214,field
257154.6995,6620439.665,333.8323288,64,304,214,field
257159.6982,6620437.865,337.7201491,37,270,180,field
257165.0713,6620436.223,340.1941883,50,270,180,field
257170.0632,6620434.346,344.3587818,53,305,215,field
257175.1059,6620432.804,347.6921235,79,315,225,field
257191.264,6620427.757,359.0838882,30,288,198,field
257208.1222,6620422.154,370.474324,42,284,194,field
257216.0944,6620419.573,375.5886565,45,309,219,field
257222.4411,6620417.888,379.1673193,46,285,195,field
257230.1099,6620415.171,383.7627871,28,285,195,field
257238.3416,6620412.906,387.1152638,25,298,208,field
257220.6448,6620351.047,378.214269,82,305,215,field
257216.1151,6620344.148,373.3808074,60,312,222,field
257211.8228,6620332.737,366.5820395,50,298,208,field
257205.7018,6620326.078,360.874535,41,345,255,field
257209.4392,6620322.037,364.8237404,50,312,222,field
257204.1702,6620317.962,357.5851861,45,315,225,field
257199.0388,6620316.661,353.7548448,30,325,235,field
257193.591,6620277.854,341.4588852,71,281,191,model
257175.8623,6620304.678,333.0426559,73,278,188,model
257197.4729,6620235.552,335.2234421,45.86122894,252.147934,162.147934,model
257191.9153,6620245.236,336.4613342,56.85097504,273.7550354,183.7550354,model
257191.3298,6620243.359,334.7294312,75.84114075,264.1678162,174.1678162,model
257195.6878,6620252.239,341.6795502,60.75310135,270.374939,180.374939,model
257200.1712,6620241.076,339.1856918,56.8213768,274.3135376,184.3135376,model
257194.414,6620250.082,338.9058456,57.24440765,268.8939819,178.8939819,model
257208.0744,6620220.129,328.946228,74.1931076,295.2416687,205.2416687,model
257206.5344,6620207.513,320.5855293,81.76895905,280.0470581,190.0470581,model
257197.6758,6620230.683,332.3383026,61.76660538,261.7984619,171.7984619,model
257178.0829,6620209.421,307.0214729,54.8719635,306.0286865,216.0286865,model
257186.8464,6620202.87,304.1482506,72.20359039,283.9761047,193.9761047,model
257180.6151,6620211.325,311.505043,52.57863998,302.9589844,212.9589844,model
257187.1352,6620205.145,305.2464752,73.91143036,278.9989319,188.9989319,model
257175.9165,6620209.278,304.5056076,85.37497711,314.8662109,224.8662109,model
257165.3957,6620199.266,289.8781681,46.48323822,279.8062439,189.8062439,model
257180.6922,6620208.873,306.8464775,49.88071442,243.5600433,153.5600433,model
257180.2012,6620208.007,305.5670662,43.12280273,261.5140991,171.5140991,model
257179.0593,6620207.383,304.3352013,38.20386887,243.4169617,153.4169617,model
257212.5669,6620298.871,361.9941254,59.3442688,289.6118164,199.6118164,model
257213.8871,6620297.821,363.8014526,56.08386993,291.3408813,201.3408813,model
257192.0597,6620267.149,341.9426422,54.52864838,308,218,model
257193.1865,6620261.901,342.3855743,54.75520325,300,210,model
257178.7714,6620263.722,328.6674271,62.56840134,212.594986,122.594986,model
257177.003,6620257.057,324.9386292,68.40876007,208.8083191,118.8083191,model
257171.0458,6620239.371,319.5509758,60.34778214,217.8932037,127.8932037,model
257162.7775,6620238.989,313.2549858,78.93891144,236,146,model
257168.928,6620247.767,318.2142487,79,192,102,model
257161.8422,6620237.965,312.707653,75.129776,240,150,model
257167.3583,6620244.714,317.3366051,79.04319763,207,117,model
257200.9402,6620262.774,349.3236237,49.98705673,284.1378174,194.1378174,model
257197.2215,6620232.086,333.5930862,59.23532867,290,200,model
257206.5357,6620239.717,341.7320328,48.97454071,270.7141724,180.7141724,model
257207.4964,6620246.445,346.8689957,52.66579819,279,189,model
257205.269,6620254.38,349.3609619,42.404953,290.7636108,200.7636108,model
257161.5599,6620317.407,323.3028831,48.4628334,271.9721375,181.9721375,model
257215.4704,6620350.225,375.0972443,61.9291954,272.655426,182.655426,model
257199.5858,6620331.196,358.4071045,82.15470886,270,180,model
257200.7389,6620330.25,359.8516731,31.52352142,248,158,model
257203.3771,6620333.45,362.5284805,49.90707397,272.3032227,182.3032227,model
257232.8399,6620402.204,386.5004501,30.86725616,283.4603882,193.4603882,model
257215.6811,6620408.539,375.7654877,43.85596085,290.6004639,200.6004639,model
257230.1674,6620410.565,384.8262405,40.44275284,268.3361816,178.3361816,model
257236.1633,6620403.09,387.6128616,27.71318626,308.9295044,218.9295044,model
257229.0891,6620399.58,384.8621521,44.92916107,270.73526,180.73526,model
257208.0408,6620369.961,372.146759,57.34737396,276.5075989,186.5075989,model
257213.1196,6620367.195,377.413208,32.6582756,292.5924988,202.5924988,model
257216.5788,6620365.138,379.2630463,49.01123428,287.9380188,197.9380188,model
257216.7888,6620367.519,379.9867096,43.14008331,280.5426331,190.5426331,model
257219.5418,6620363.777,380.9481201,47.60071945,275.3599243,185.3599243,model
257223.854,6620355.039,380.9932709,46.55150223,248.7546234,158.7546234,model
257178.3953,6620347.423,341.5279732,45.33800507,277.7870178,187.7870178,model
