"Xloc","Yloc","long","lat","Landuse","Rock","Cd","Co","Cr","Cu","Ni","Pb","Zn"
2.386,3.077,6.85041335871979,47.1390734512343,"Meadow","Sequanian",1.74,9.32,38.32,25.72,21.32,77.36,92.56
2.544,1.972,6.85267422977897,47.1291761252085,"Pasture","Kimmeridgian",1.335,10,40.2,24.76,29.72,77.88,73.56
2.807,3.347,6.85588566129028,47.1415356763132,"Pasture","Sequanian",1.61,10.6,47,8.88,21.4,30.8,64.8
4.308,1.933,6.8757993322966,47.1289924172863,"Meadow","Kimmeridgian",2.15,11.92,43.52,22.7,29.72,56.4,90
4.383,1.081,6.87692510114699,47.1213564384817,"Meadow","Quaternary",1.565,16.32,38.52,34.32,26.2,66.4,88.4
3.244,4.519,6.86141460582716,47.1520905570117,"Meadow","Quaternary",1.145,3.508,40.4,31.28,22.04,72.4,75.2
3.925,3.785,6.87046734959246,47.1455702024545,"Meadow","Quaternary",0.894,15.08,30.52,27.44,21.76,60,72.4
2.116,3.498,6.8468014416787,47.1428241251866,"Meadow","Argovian",0.525,4.2,25.4,66.12,9.72,141,72.08
1.842,0.989,6.84364431587342,47.1202906736399,"Meadow","Argovian",0.24,4.52,27.96,22.32,11.32,52.4,56.4
1.709,1.843,6.84175336056457,47.1279386593686,"Meadow","Sequanian",0.625,12.08,33.32,18.72,16.88,41.6,75.6
3.8,4.578,6.86869454473813,47.1526721325102,"Meadow","Argovian",3.873,9.84,46,22.24,21.64,46,143.2
2.699,1.199,6.85483807489081,47.1222566733352,"Forest","Argovian",1.425,7.56,40.8,8.76,15.72,56.4,66.8
3.033,4.384,6.85867116885144,47.1508595644986,"Meadow","Quaternary",0.455,2.368,19.24,21.36,7.08,38.36,37.88
4.232,1.588,6.87486125788065,47.1258905053983,"Forest","Kimmeridgian",1.025,8.84,28.32,5.88,17.4,52.8,47.6
4.75,1.369,6.88168616784748,47.1239739052521,"Meadow","Kimmeridgian",0.775,11.96,35.6,17.6,23.76,32.92,70.8
2.341,4.135,6.84964124202786,47.1485599373734,"Meadow","Argovian",0.62,5.32,31,18.52,10.8,42,46.8
2.827,3.667,6.85609305692397,47.1444081448237,"Meadow","Quaternary",0.4,4.68,20.52,3.96,6.68,21.48,25.2
3.043,4.692,6.85874968211913,47.1536234276422,"Meadow","Argovian",0.625,3.536,25.2,8.24,11.32,29.92,31.32
1.687,1.174,6.84158116340235,47.1219352430421,"Meadow","Argovian",0.355,3.64,18.4,21.56,6.64,46.8,39.56
2.235,2.386,6.84855318784312,47.1328603432617,"Meadow","Quaternary",1.585,12.44,40.56,40.88,25.08,88.68,114.28
3.122,1.695,6.86029655415232,47.126746233254,"Meadow","Kimmeridgian",1.885,12.92,44,35.92,34.72,72.88,120.28
2.219,2.774,6.84827656438306,47.1363393710288,"Pasture","Kimmeridgian",1.3,13.04,32.48,8.8,31.52,56.52,71.76
